,Seats Number,Count
0,137,52457
1,136,10458
2,148,8207
3,183,7832
4,150,7750
5,157,7392
6,144,7342
7,44,7144
8,30,6344
9,140,5510
10,50,5370
11,182,4240
12,122,3607
13,160,3220
14,120,2485
15,173,2300
16,66,2266
17,141,2109
18,132,1819
19,124,1658
20,138,1407
21,126,1245
22,70,1108
23,76,1066
24,188,799
25,252,732
26,93,730
27,145,665
28,190,662
29,172,636
30,114,630
31,267,424
32,262,376
33,98,370
34,149,254
35,216,216
36,162,120
37,119,72
38,168,36
39,129,34
40,166,22
41,99,16
42,134,12
43,174,6
44,244,5
45,175,4
46,180,3
47,224,2
48,235,2
