,Seats,Specific Aircraft Name,count
0,50,Canadair Regional Jet,1372
1,69,Canadair Regional Jet 700,708
2,70,Canadair Regional Jet 700,2516
3,75,Canadair CRJ Series 705,119
4,75,Canadair Regional Jet 900,135
5,76,Canadair Regional Jet 900,1918
6,76,DHvilld-Bombardier DHC8 Dsh 8-400/8Q,710
7,76,Embraer 175,22294
8,76,Embraer 175 (Enhanced Winglets),2305
9,110,Boeing 717-200,1577
10,113,Boeing 737-600 Passenger,34
11,119,Airbus A319,645
12,124,Boeing 737-700 Passenger,148
13,126,Boeing 737-700 Passenger,639
14,128,Airbus A319,2536
15,132,Airbus A319,6
16,134,Boeing 737-700 (winglets) Passenger,180
17,136,Airbus A319,36
18,142,Boeing 757 (Passenger),12
19,143,Boeing 737-700 (winglets) Passenger,58396
20,145,Airbus A319,1143
21,146,Airbus A320,606
22,149,Airbus A320,3804
23,149,Airbus A320 (Sharklets),247
24,150,Airbus A319,176
25,150,Airbus A320,5148
26,154,Boeing 737-800 Passenger,29
27,156,Airbus A319,362
28,157,Airbus A320,422
29,158,Boeing (douglas) MD-90,263
30,159,Airbus A318/319/320/321,3066
31,159,Boeing 737-800 (winglets) Passenger,5665
32,160,Airbus A320,502
33,160,Boeing 737-800 Passenger,9962
34,161,Boeing 787-8,10
35,162,Airbus A320,42
36,166,Boeing (douglas) MD-80,24
37,166,Boeing 737-800 Passenger,5042
38,168,Boeing 737-800 (winglets) Passenger,156
39,168,Boeing 737-800 Passenger,377
40,168,Boeing 757 (Passenger),4
41,168,Boeing 757-200 (winglets) Passenger,688
42,169,Boeing 757-200 Passenger,825
43,174,Boeing 737-800 (winglets) Passenger,202
44,174,Boeing 737MAX 8 Passenger,2
45,175,Boeing 737-800 (winglets) Passenger,17444
46,175,Boeing 737-800 Passenger,588
47,175,Boeing 737MAX 8 Passenger,1180
48,177,Airbus A320,116
49,178,Boeing 737-900 (winglets) Passenger,6768
50,178,Boeing 737-900 Passenger,565
51,179,Boeing 737-900 Passenger,7694
52,179,Boeing 737MAX 9 Passenger,338
53,180,Airbus A320,1496
54,180,Boeing 737-900 Passenger,3191
55,181,Airbus A321 (Sharklets),4425
56,181,Boeing 737-900 Passenger,20
57,182,Airbus A320 (Sharklets),2134
58,185,Airbus A321,25
59,185,Airbus A321 (Sharklets),183
60,186,Boeing 787-8,160
61,187,Airbus A321,6022
62,188,Boeing 757-200 Passenger,688
63,189,Airbus A321,313
64,192,Airbus A321,4379
65,193,Boeing 757-200 Passenger,2
66,199,Boeing 757 (Passenger),801
67,200,Airbus A321,674
68,206,Boeing 787-8,560
69,213,Boeing 757-300 Passenger,2
70,219,Boeing 777 Passenger,2
71,228,Airbus A321 (Sharklets),1160
72,230,Airbus A321,1452
73,234,Boeing 757-300 Passenger,684
74,246,Boeing 767-400 Passenger,14
75,259,Boeing 767-300 Passenger,148
76,275,Boeing 747-400 (Passenger),288
77,278,Airbus A330-200,728
78,279,Airbus A340-300,390
79,281,Airbus A340-600,4
80,296,Boeing 777-300ER Passenger,4
81,297,Boeing 777 Passenger,430
82,314,Airbus A340-300,100
83,337,Boeing 747-400 (Passenger),4
