,month,day,Departure Count
0,1,1,184
1,1,2,232
2,1,3,233
3,1,4,219
4,1,5,213
5,1,6,217
6,1,7,218
7,1,8,179
8,1,9,207
9,1,10,222
10,1,11,213
11,1,12,217
12,1,13,221
13,1,14,222
14,1,15,177
15,1,16,207
16,1,17,222
17,1,18,213
18,1,19,218
19,1,20,221
20,1,21,223
21,1,22,174
22,1,23,208
23,1,24,222
24,1,25,213
25,1,26,218
26,1,27,221
27,1,28,223
28,1,29,175
29,1,30,208
30,1,31,222
31,2,1,214
32,2,2,218
33,2,3,221
34,2,4,223
35,2,5,176
36,2,6,209
37,2,7,222
38,2,8,214
39,2,9,218
40,2,10,221
41,2,11,223
42,2,12,177
43,2,13,213
44,2,14,222
45,2,15,216
46,2,16,217
47,2,17,225
48,2,18,224
49,2,19,186
50,2,20,213
51,2,21,223
52,2,22,218
53,2,23,220
54,2,24,223
55,2,25,223
56,2,26,187
57,2,27,215
58,2,28,222
59,3,1,217
60,3,2,221
61,3,3,226
62,3,4,226
63,3,5,188
64,3,6,217
65,3,7,225
66,3,8,220
67,3,9,222
68,3,10,227
69,3,11,227
70,3,12,193
71,3,13,219
72,3,14,225
73,3,15,221
74,3,16,222
75,3,17,227
76,3,18,227
77,3,19,195
78,3,20,219
79,3,21,225
80,3,22,221
81,3,23,222
82,3,24,227
83,3,25,227
84,3,26,196
85,3,27,221
86,3,28,227
87,3,29,223
88,3,30,224
89,3,31,229
90,4,1,228
91,4,2,195
92,4,3,219
93,4,4,227
94,4,5,214
95,4,6,218
96,4,7,227
97,4,8,226
98,4,9,191
99,4,10,219
100,4,11,225
101,4,12,214
102,4,13,217
103,4,14,227
104,4,15,226
105,4,16,191
106,4,17,219
107,4,18,224
108,4,19,215
109,4,20,218
110,4,21,227
111,4,22,226
112,4,23,190
113,4,24,220
114,4,25,225
115,4,26,216
116,4,27,220
117,4,28,229
118,4,29,228
119,4,30,191
120,5,1,222
121,5,2,228
122,5,3,219
123,5,4,222
124,5,5,231
125,5,6,232
126,5,7,191
127,5,8,228
128,5,9,231
129,5,10,219
130,5,11,222
131,5,12,232
132,5,13,232
133,5,14,192
134,5,15,228
135,5,16,231
136,5,17,220
137,5,18,223
138,5,19,234
139,5,20,232
140,5,21,192
141,5,22,229
142,5,23,231
143,5,24,221
144,5,25,222
145,5,26,233
146,5,27,232
147,5,28,185
148,5,29,185
149,5,30,222
150,5,31,225
151,6,1,227
152,6,2,235
153,6,3,234
154,6,4,194
155,6,5,229
156,6,6,234
157,6,7,223
158,6,8,225
159,6,9,241
160,6,10,239
161,6,11,208
162,6,12,233
163,6,13,240
164,6,14,237
165,6,15,238
166,6,16,242
167,6,17,239
168,6,18,211
169,6,19,233
170,6,20,240
171,6,21,238
172,6,22,240
173,6,23,241
174,6,24,238
175,6,25,211
176,6,26,235
177,6,27,240
178,6,28,238
179,6,29,239
180,6,30,242
181,7,1,239
182,7,2,211
183,7,3,178
184,7,4,220
185,7,5,239
186,7,6,240
187,7,7,242
188,7,8,239
189,7,9,213
190,7,10,234
191,7,11,242
192,7,12,239
193,7,13,240
194,7,14,242
195,7,15,241
196,7,16,215
197,7,17,235
198,7,18,243
199,7,19,241
200,7,20,242
201,7,21,244
202,7,22,241
203,7,23,215
204,7,24,236
205,7,25,243
206,7,26,241
207,7,27,242
208,7,28,244
209,7,29,241
210,7,30,215
211,7,31,236
212,8,1,243
213,8,2,242
214,8,3,243
215,8,4,244
216,8,5,241
217,8,6,216
218,8,7,236
219,8,8,243
220,8,9,242
221,8,10,243
222,8,11,244
223,8,12,241
224,8,13,215
225,8,14,228
226,8,15,241
227,8,16,231
228,8,17,234
229,8,18,235
230,8,19,234
231,8,20,200
232,8,21,222
233,8,22,236
234,8,23,226
235,8,24,231
236,8,25,232
237,8,26,231
238,8,27,197
239,8,28,219
240,8,29,232
241,8,30,218
242,8,31,224
243,9,1,232
244,9,2,231
245,9,3,172
246,9,4,176
247,9,5,223
248,9,6,227
249,9,7,221
250,9,8,231
251,9,9,233
252,9,10,185
253,9,11,217
254,9,12,231
255,9,13,218
256,9,14,220
257,9,15,232
258,9,16,233
259,9,17,184
260,9,18,217
261,9,19,231
262,9,20,217
263,9,21,220
264,9,22,232
265,9,23,233
266,9,24,186
267,9,25,219
268,9,26,232
269,9,27,218
270,9,28,221
271,9,29,233
272,9,30,233
273,10,1,188
274,10,2,220
275,10,3,231
276,10,4,217
277,10,5,219
278,10,6,233
279,10,7,234
280,10,8,183
281,10,9,223
282,10,10,231
283,10,11,216
284,10,12,217
285,10,13,232
286,10,14,232
287,10,15,182
288,10,16,222
289,10,17,230
290,10,18,216
291,10,19,218
292,10,20,231
293,10,21,232
294,10,22,182
295,10,23,221
296,10,24,231
297,10,25,216
298,10,26,217
299,10,27,231
300,10,28,232
301,10,29,181
302,10,30,220
303,10,31,214
304,11,1,216
305,11,2,214
306,11,3,230
307,11,4,231
308,11,5,179
309,11,6,215
310,11,7,223
311,11,8,209
312,11,9,211
313,11,10,227
314,11,11,227
315,11,12,181
316,11,13,216
317,11,14,223
318,11,15,209
319,11,16,211
320,11,17,229
321,11,18,231
322,11,19,185
323,11,20,217
324,11,21,217
325,11,22,225
326,11,23,236
327,11,24,151
328,11,25,187
329,11,26,203
330,11,27,243
331,11,28,237
332,11,29,217
333,11,30,217
334,12,1,226
335,12,2,225
336,12,3,180
337,12,4,212
338,12,5,222
339,12,6,209
340,12,7,212
341,12,8,225
342,12,9,225
343,12,10,180
344,12,11,213
345,12,12,222
346,12,13,210
347,12,14,212
348,12,15,232
349,12,16,233
350,12,17,200
351,12,18,222
352,12,19,232
353,12,20,230
354,12,21,234
355,12,22,241
356,12,23,241
357,12,24,187
358,12,25,181
359,12,26,239
360,12,27,239
361,12,28,239
362,12,29,236
363,12,30,240
364,12,31,184
